"marca","marca_slug","tipo","tipo_slug","modelo","modelo_slug","url_completa"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Minicargador Bobcat 331","repuestos-minicargador-bobcat-331","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-minicargador-bobcat-331/"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Minicargador Bobcat 418","repuestos-minicargador-bobcat-418","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-minicargador-bobcat-418/"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Minicargador Bobcat E32","repuestos-minicargador-bobcat-e32","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-minicargador-bobcat-e32/"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Minicargador Bobcat E42","repuestos-minicargador-bobcat-e42","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-minicargador-bobcat-e42/"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Minicargador Bobcat E45","repuestos-minicargador-bobcat-e45","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-minicargador-bobcat-e45/"
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Miniexcavadora","repuestos-para-maquinaria-pesada-miniexcavadora-bobcat","Repuestos Miniexcavadora Bobcat 430","repuestos-miniexcavadora-bobcat-430","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-bobcat/repuestos-para-maquinaria-pesada-miniexcavadora-bobcat/repuestos-miniexcavadora-bobcat-430/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Bulldozer","repuestos-para-maquinaria-pesada-bulldozer-case-construction","Repuestos Bulldozer Case Construction 1150k","repuestos-bulldozer-case-construction-1150k","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-bulldozer-case-construction/repuestos-bulldozer-case-construction-1150k/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Bulldozer","repuestos-para-maquinaria-pesada-bulldozer-case-construction","Repuestos Bulldozer Case Construction 1150m","repuestos-bulldozer-case-construction-1150m","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-bulldozer-case-construction/repuestos-bulldozer-case-construction-1150m/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Bulldozer","repuestos-para-maquinaria-pesada-bulldozer-case-construction","Repuestos Bulldozer Case Construction 1650m","repuestos-bulldozer-case-construction-1650m","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-bulldozer-case-construction/repuestos-bulldozer-case-construction-1650m/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Bulldozer","repuestos-para-maquinaria-pesada-bulldozer-case-construction","Repuestos Bulldozer Case Construction 2050m","repuestos-bulldozer-case-construction-2050m","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-bulldozer-case-construction/repuestos-bulldozer-case-construction-2050m/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Bulldozer","repuestos-para-maquinaria-pesada-bulldozer-case-construction","Repuestos Bulldozer Case Construction 650l","repuestos-bulldozer-case-construction-650l","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-bulldozer-case-construction/repuestos-bulldozer-case-construction-650l/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Bulldozer Case Construction 650l Copy","repuestos-bulldozer-case-construction-650l-copy","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-bulldozer-case-construction-650l-copy/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 621e","repuestos-cargador-frontal-case-construction-621e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-621e/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 621f","repuestos-cargador-frontal-case-construction-621f","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-621f/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 621g","repuestos-cargador-frontal-case-construction-621g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-621g/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721e","repuestos-cargador-frontal-case-construction-721e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721e/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721f","repuestos-cargador-frontal-case-construction-721f","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721f/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721g","repuestos-cargador-frontal-case-construction-721g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721g/"
