"url","status_http","title","meta_description","h1","canonical","profundidad","seccion","tipo_inferido"
"https://partequipos.com/","200","Maquinaria Pesada en Colombia - Partequipos","PARTEQUIPOS, líder en Maquinaria Pesada en Colombia: ofrecemos venta de Excavadoras, Bulldozer y más; además de repuestos y servicio técnico.","Venta de Maquinaria pesada y repuestos","https://partequipos.com/","0","corporativo","institucional"
"https://partequipos.com/beneficios-operativos-de-los-motores-tier-4-en-maquinaria-pesada/","200","Beneficios Operativos de los Motores Tier 4 en Maquinaria Pesada","Los motores Tier 4 representan un avance significativo en tecnología para maquinaria pesada, más allá del cumplimiento normativo.","Beneficios Operativos de los Motores Tier 4 en Maquinaria Pesada","https://partequipos.com/beneficios-operativos-de-los-motores-tier-4-en-maquinaria-pesada/","1","blog","institucional"
"https://partequipos.com/blog-partequipos/","200","Blog Partequipos - Partequipos Colombia","Ofrecemos soluciones a tus proyectos especializándonos en la venta de maquinaria pesada, repuestos, servicio técnico y lubricantes","","https://partequipos.com/blog-partequipos/","1","corporativo","institucional"
"https://partequipos.com/bombas-de-alta-presion-para-que-sirven-donde-se-usan-y-que-opciones-encuentras-en-partequipos/","200","Bombas de alta presión y qué opciones encuentras en Partequipos","En muchas operaciones, mover agua no es suficiente, es moverla con la presión, el alcance y la capacidad que exige el trabajo.","Bombas de alta presión: para qué sirven, dónde se usan y qué opciones encuentras en Partequipos","https://partequipos.com/bombas-de-alta-presion-para-que-sirven-donde-se-usan-y-que-opciones-encuentras-en-partequipos/","1","blog","institucional"
"https://partequipos.com/case-construction-en-colombia-tecnologia-de-clase-mundial/","200","CASE Construction en Colombia: Tecnología de Clase Mundial","Líder global por más de 180 años, y hoy, representada de manera exclusiva en Colombia por Partequipos S.A.S.","CASE Construction en Colombia: Tecnología de Clase Mundial con Representación Exclusiva por Partequipos S.A.S.","https://partequipos.com/case-construction-en-colombia-tecnologia-de-clase-mundial/","1","blog","institucional"
"https://partequipos.com/case-construction-mas-de-40-anos-construyendo-obras-en-colombia/","200","Case construction más de 40 años","En Partequipos ahora es distribuidor oficial de Dynapac en Colombia: potencia, precisión y respaldo para tus proyectos viales y más.","CASE Construction: Más de 40 Años Construyendo Obras en Colombia","https://partequipos.com/case-construction-mas-de-40-anos-construyendo-obras-en-colombia/","1","blog","institucional"
"https://partequipos.com/category/noticias/","200","Noticias archivos - Partequipos","","","https://partequipos.com/category/noticias/","2","otro","desconocido"
"https://partequipos.com/codigo-de-etica-partequipos/","200","Código de ética Partequipos - Partequipos","Para Partequipos S.A.S es muy importante dar a conocer a nuestros clientes la política de garantía de nuestros repuestos","Código de ética Partequipos","https://partequipos.com/codigo-de-etica-partequipos/","1","corporativo","institucional"
"https://partequipos.com/como-identificar-la-talla-de-mi-diente-o-punta/","200","¿Cómo identificar la talla de mi diente o punta? - Partequipos","Explora la importancia del Diente en la maquinaria pesada y su papel fundamental en la eficiencia y productividad del equipo","¿Cómo identificar la talla de mi diente o punta?","https://partequipos.com/como-identificar-la-talla-de-mi-diente-o-punta/","1","blog","institucional"
"https://partequipos.com/como-medir-y-sustituir-las-orugas-de-caucho/","200","Ignoras el Mantenimiento en Sistemas Hidráulicos? - Partequipos","Descubre los consejos clave para una compra inteligente de maquinaria pesada en Colombia. Evalúa tus necesidades","Cómo medir y sustituir las orugas de caucho","https://partequipos.com/como-medir-y-sustituir-las-orugas-de-caucho/","1","blog","institucional"
"https://partequipos.com/como-prepararse-para-la-transicion-a-motores-tier-4-en-colombia/","200","Cómo Prepararse para la Transición a Motores Tier 4 en Colombia","La llegada de la regulación Tier 4 a Colombia no solo busca mejorar la calidad del aire, sino también el sector de maquinaria pesada","Cómo Prepararse para la Transición a Motores Tier 4 en Colombia","https://partequipos.com/como-prepararse-para-la-transicion-a-motores-tier-4-en-colombia/","1","blog","institucional"
"https://partequipos.com/competencia_nacional_de_operadores/","200","Lanzamiento Excavadoras- Partequipos","Descubre la potencia y versatilidad definitivas en nuestras Lanzamiento excavadoras. Diseñadas para superar tus expectativas.","REGÍSTRATE Y CONOCE MÁS DE NUESTRO EVENTO","https://partequipos.com/competencia_nacional_de_operadores/","1","corporativo","institucional"
"https://partequipos.com/congreso-de-alcaldes/","200","Lanzamiento Excavadoras- Partequipos","Descubre la potencia y versatilidad definitivas en nuestras Lanzamiento excavadoras. Diseñadas para superar tus expectativas.","CONGRESO DE ALCALDES","https://partequipos.com/congreso-de-alcaldes/","1","corporativo","institucional"
"https://partequipos.com/consecuencias-de-ignorar-el-mantenimiento-en-sistemas-hidraulicos-de-maquinaria-pesada-en-colombia/","200","Ignoras el Mantenimiento en Sistemas Hidráulicos? - Partequipos","Descubre los consejos clave para una compra inteligente de maquinaria pesada en Colombia. Evalúa tus necesidades","Consecuencias de Ignorar el Mantenimiento en Sistemas Hidráulicos de Maquinaria Pesada en Colombia","https://partequipos.com/consecuencias-de-ignorar-el-mantenimiento-en-sistemas-hidraulicos-de-maquinaria-pesada-en-colombia/","1","blog","institucional"
"https://partequipos.com/consejos-esenciales-para-la-compra-maquinaria-pesada-en-colombia/","200","Consejos Esenciales para la Compra Maquinaria Pesada - Partequipos","Descubre los consejos clave para una compra inteligente de maquinaria pesada en Colombia. Evalúa tus necesidades","Consejos Esenciales para la Compra Maquinaria Pesada en Colombia","https://partequipos.com/consejos-esenciales-para-la-compra-maquinaria-pesada-en-colombia/","1","blog","institucional"
"https://partequipos.com/contactanos/","200","Contáctanos - Partequipos","Contáctanos ahora y déjanos saber cómo podemos ayudarte! Completa nuestro formulario de contacto o utiliza la información proporcionada para comunicarte directamente con nuestro equipo.","","https://partequipos.com/contactanos/","1","corporativo","institucional"
"https://partequipos.com/control-de-valvulas-la-maestria-en-operaciones-precisas-de-maquinaria-pesada-en-colombia/","200","La Danza Perfecta para la Movilidad en la Maquinaria Pesada","La historia de una de las marcas más importantes de maquinaria pesada en Colombia: HITACHI - somos distribuidores oficiales","Control de Válvulas: La Maestría en Operaciones Precisas de Maquinaria Pesada en Colombia","https://partequipos.com/control-de-valvulas-la-maestria-en-operaciones-precisas-de-maquinaria-pesada-en-colombia/","1","blog","institucional"
"https://partequipos.com/cuidado-del-motor-en-la-maquinaria-pesada-en-colombia/","200","Cuidado del motor en la maquinaria pesada","La historia de una de las marcas más importantes de maquinaria pesada en Colombia: HITACHI - somos distribuidores oficiales","Cuidado del Motor en la Maquinaria Pesada en Colombia","https://partequipos.com/cuidado-del-motor-en-la-maquinaria-pesada-en-colombia/","1","blog","institucional"
"https://partequipos.com/cuidado-del-tren-de-rodaje-en-excavadoras-y-bulldozer-guia-practica-para-reducir-costos-operativos/","200","Cuidado del Tren de Rodaje en Excavadoras y Bulldozer","Cuidado del Tren de Rodaje en Excavadoras y Bulldozer: Guía Práctica para Reducir Costos Operativos","Cuidado del Tren de Rodaje en Excavadoras y Bulldozer: Guía Práctica para Reducir Costos Operativos","https://partequipos.com/cuidado-del-tren-de-rodaje-en-excavadoras-y-bulldozer-guia-practica-para-reducir-costos-operativos/","1","blog","institucional"
"https://partequipos.com/descubre-los-beneficios-de-usar-filtros-donaldson-en-tu-maquinaria-pesada/","200","Beneficios de usar filtros Donaldson en tu maquinaria pesada","La historia de una de las marcas más importantes de maquinaria pesada en Colombia: HITACHI - somos distribuidores oficiales","Descubre los beneficios de usar Filtros Donaldson en tu maquinaria pesada","https://partequipos.com/descubre-los-beneficios-de-usar-filtros-donaldson-en-tu-maquinaria-pesada/","1","blog","institucional"
"https://partequipos.com/dientes-cuchillas-y-esquineras-pilares-de-rendimiento-en-maquinaria-pesada-colombiana/","200","Dientes, Cuchillas y Esquineras: Pilares de Rendimiento en Maquinaria Pesada Colombiana - Partequipos","Explora la importancia de Dientes, cuchillas y esquineras en la maquinaria pesada y su papel fundamental en la eficiencia","Dientes, Cuchillas y Esquineras: Pilares de Rendimiento en Maquinaria Pesada Colombiana","https://partequipos.com/dientes-cuchillas-y-esquineras-pilares-de-rendimiento-en-maquinaria-pesada-colombiana/","1","blog","institucional"
