"nombre","slug","marca_slug","tipo_slug","codigo","entradilla","descripcion","destacados","ficha_tecnica_demo","metaTitle","metaDescription"
"Bulldozer Case 1150M","bulldozer-case-construction-1150m","case-construction","bulldozer","1150M","Tractor de oruga para empuje y nivelacion en frentes de gran volumen.","Bulldozer Case 1150M. Tractor de oruga para empuje y nivelacion en frentes de gran volumen. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Hoja de gran capacidad|Tren de rodaje reforzado|Cabina presurizada de baja vibracion","","",""
"Bulldozer Case 1650M","bulldozer-case-construction-1650m","case-construction","bulldozer","1650M","Tractor de oruga para empuje y nivelacion en frentes de gran volumen.","Bulldozer Case 1650M. Tractor de oruga para empuje y nivelacion en frentes de gran volumen. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Hoja de gran capacidad|Tren de rodaje reforzado|Cabina presurizada de baja vibracion","","",""
"Bulldozer Case 2050M Tier 4","bulldozer-case-construction-2050m-tier4","case-construction","bulldozer","2050M","Tractor de oruga para empuje y nivelacion en frentes de gran volumen.","Bulldozer Case 2050M Tier 4. Tractor de oruga para empuje y nivelacion en frentes de gran volumen. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Hoja de gran capacidad|Tren de rodaje reforzado|Cabina presurizada de baja vibracion","","",""
"Excavadora Case CX130C","excavadora-case-construction-cx130c","case-construction","excavadoras","CX130C","Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera.","Excavadora Case CX130C. Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de flujo compartido|Modos de trabajo seleccionables|Acceso a servicio desde el nivel del suelo","","",""
"Excavadora Case CX210D Tier 4","excavadora-case-construction-cx-210d-tier4","case-construction","excavadoras","CX210D","Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera.","Excavadora Case CX210D Tier 4. Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de flujo compartido|Modos de trabajo seleccionables|Acceso a servicio desde el nivel del suelo","","",""
"Excavadora Case CX350C","excavadora-case-construction-cx350c","case-construction","excavadoras","CX350C","Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera.","Excavadora Case CX350C. Excavadora hidraulica de cadenas para excavacion, carga y demolicion ligera. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de flujo compartido|Modos de trabajo seleccionables|Acceso a servicio desde el nivel del suelo","","",""
"Minicargador Case SR175B","minicargador-case-construction-sr175b","case-construction","minicargadores-case","SR175B","Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional.","Minicargador Case SR175B. Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Acople rapido universal|Buena visibilidad hacia el implemento|Compatible con multiples aditamentos","","",""
"Minicargador Case SR210B Tier 4","minicargador-case-construction-sr210b-tier4","case-construction","minicargadores-case","SR210B","Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional.","Minicargador Case SR210B Tier 4. Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Acople rapido universal|Buena visibilidad hacia el implemento|Compatible con multiples aditamentos","","",""
"Minicargador Case SR270B Tier 4","minicargador-case-construction-sr270b-tier4","case-construction","minicargadores-case","SR270B","Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional.","Minicargador Case SR270B Tier 4. Cargador compacto de direccion deslizante para espacios donde no entra un cargador convencional. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Acople rapido universal|Buena visibilidad hacia el implemento|Compatible con multiples aditamentos","","",""
"Motoniveladora Case 845B","motoniveladora-case-construction-845b","case-construction","motoniveladoras-case","845B","Motoniveladora para perfilado, conformacion de via y mantenimiento de superficies.","Motoniveladora Case 845B. Motoniveladora para perfilado, conformacion de via y mantenimiento de superficies. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Control de hoja de respuesta progresiva|Transmision con cambios bajo carga|Puesto de operacion con doble mando","","",""
"Motoniveladora Case 865C Tier 4","motoniveladora-case-construction-865c-tier-4","case-construction","motoniveladoras-case","865C","Motoniveladora para perfilado, conformacion de via y mantenimiento de superficies.","Motoniveladora Case 865C Tier 4. Motoniveladora para perfilado, conformacion de via y mantenimiento de superficies. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Control de hoja de respuesta progresiva|Transmision con cambios bajo carga|Puesto de operacion con doble mando","","",""
"Retrocargadora Case 580N","retrocargadora-case-construction-580n","case-construction","retrocargadoras","580N","Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo.","Retrocargadora Case 580N. Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Estabilizadores de apoyo amplio|Brazo extensible opcional|Tres frentes de trabajo sin cambiar de maquina","","",""
"Retrocargadora Case 590SN","retrocargadora-case-construction-590sn","case-construction","retrocargadoras","590SN","Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo.","Retrocargadora Case 590SN. Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Estabilizadores de apoyo amplio|Brazo extensible opcional|Tres frentes de trabajo sin cambiar de maquina","","",""
