"nombre","slug","marca_slug","descripcion","metaTitle","metaDescription"
"Aditamentos","aditamentos","aditamentos","Implementos de proposito general compatibles con varias plataformas.","",""
"Aditamentos para excavadoras","excavadoras","aditamentos","Cucharones, martillos hidraulicos y acoples rapidos para excavadora.","",""
"Aditamentos para minicargadores","minicargadores","aditamentos","Implementos de acople rapido para minicargador.","",""
"Bulldozers","bulldozer","case-construction","Tractores de oruga para empuje, nivelacion y apertura de via.","",""
"Excavadoras","excavadoras","case-construction","Excavadoras hidraulicas de cadenas para excavacion y carga.","",""
"Minicargadores","minicargadores-case","case-construction","Cargadores compactos de direccion deslizante para espacios reducidos.","",""
"Motoniveladoras","motoniveladoras-case","case-construction","Equipos de perfilado y mantenimiento de vias.","",""
"Retrocargadoras","retrocargadoras","case-construction","Maquina mixta de cargador frontal y retroexcavadora.","",""
"Vibrocompactador SV208","vibrocompactador-case-sv208","case-construction","Rodillo vibratorio de suelo. Anomalia del sitio actual: este modelo cuelga al nivel de tipo, no de ficha. Se replica tal cual (ADR 0007).","",""
"Compactadores de llantas","compactador-de-llantas-dynapac","dynapac","Rodillos neumaticos para sellado de carpeta asfaltica.","",""
"Compactadores de suelo","compactador-de-suelo-dynapac","dynapac","Rodillos vibratorios de tambor liso para base y subrasante.","",""
"Compactadores de doble rodillo","compactador-doble-rodillo-dynapac","dynapac","Rodillos tandem para compactacion de asfalto.","",""
"Pavimentadoras Dynapac","pavimentadoras-dynapac","dynapac","Terminadoras de asfalto sobre orugas y sobre llantas.","",""
"Reglas vibratorias","reglas-dynapac","dynapac","Reglas para nivelacion y acabado de losas de concreto.","",""
"Compactadores","compactadores","dynapac","Vista general de la linea de compactacion.","",""
"Pavimentadoras","pavimentadoras","dynapac","Vista general de la linea de pavimentacion.","",""
"Excavadoras","excavadoras-hitachi","hitachi","Excavadoras hidraulicas y miniexcavadoras de la serie ZAXIS.","",""
"Miniexcavadoras","miniexcavadoras","yanmar","Miniexcavadoras compactas de radio corto y cero.","",""
